"","country","region","year","new.pul.TB","prev.treated.pul.TB","prev.unk.pul.TB","new.MDR","prev.MDR","MDR.tested","XDR","pop.number","TB.100k","TB.num","TB_mort.100k","TB_mort.num","Country.Code","GDP"
"248","Norway","EUR",2018,104,12,0,4,0,4,0,5337962,4.1,220,0.37,20,"NOR",81807.19804
"249","Oman","EMR",2017,189,4,0,0,0,0,0,4665928,6.7,310,0.4,19,"OMN",15170.35174
"250","Oman","EMR",2018,174,2,0,4,0,0,0,4829473,5.9,280,0.4,19,"OMN",16418.92693
"251","Pakistan","EMR",2017,128806,15241,116,535,2102,2600,123,207906209,267,554000,21,45000,"PAK",1466.843096
"252","Pakistan","EMR",2018,128001,15925,195,1004,1483,2461,86,212228286,265,562000,21,44000,"PAK",1472.893134
"253","Palau","WPR",2017,19,0,0,0,0,0,0,17808,129,23,11,2,"PLW",16274.90454
"254","Palau","WPR",2018,12,0,0,0,0,0,0,17907,109,20,9,2,"PLW",17317.87262
"255","Panama","AMR",2017,946,89,0,7,5,12,0,4106769,57,2300,7.8,320,"PAN",15166.12443
"259","Paraguay","AMR",2017,1641,337,0,0,1,1,0,6867061,43,3000,4.7,320,"PRY",5680.580768
"260","Paraguay","AMR",2018,1592,331,0,1,4,2,0,6956066,43,3000,4.6,320,"PRY",5871.467064
"261","Peru","AMR",2017,17868,2889,0,844,491,849,82,31444298,119,37000,8.3,2600,"PER",6700.81138
"262","Peru","AMR",2018,17387,3075,0,1198,481,758,91,31989260,123,39000,8.3,2700,"PER",6947.256627
"263","Philippines","WPR",2017,105165,20919,0,37,350,259,4,105172925,554,583000,26,27000,"PHL",2981.934151
"265","Poland","EUR",2017,3661,474,0,30,14,35,5,37953180,17,6400,1.4,520,"POL",13861.05156
"266","Poland","EUR",2018,3559,498,0,31,15,41,12,37921592,16,6000,1.3,480,"POL",15424.04603
"267","Portugal","EUR",2017,1057,87,0,9,1,7,0,10288527,20,2000,2.3,230,"PRT",21291.43099
"268","Portugal","EUR",2018,1291,68,107,6,1,1,0,10256193,24,2400,2.2,220,"PRT",23145.73496
"269","Puerto Rico","AMR",2017,30,1,0,0,0,0,0,3163667,1.4,45,0.47,15,"PRI",31353.43418
"270","Puerto Rico","AMR",2018,17,2,0,0,0,0,0,3039596,0.95,29,0.42,13,"PRI",31651.34815
"271","Qatar","EMR",2017,335,0,0,5,0,5,0,2724728,25,690,0.31,8,"QAT",61264.39648
"272","Qatar","EMR",2018,335,1,2,3,0,3,0,2781682,31,860,0.3,8,"QAT",69026.4688
"273","Romania","EUR",2017,7060,2264,0,97,259,142,43,19653969,72,14000,5,980,"ROU",10792.95628
"274","Romania","EUR",2018,6682,2052,0,117,230,223,46,19506114,68,13000,4.7,910,"ROU",12301.1864
"275","Russian Federation","EUR",2017,32978,26058,0,8206,14611,20477,3562,145530082,59,85000,8.1,12000,"RUS",10750.58712
"277","Rwanda","AFR",2017,3837,452,0,22,14,34,0,11980961,58,7000,7.6,920,"RWA",762.4991636
"278","Rwanda","AFR",2018,3860,467,0,21,7,28,0,12301970,59,7300,7.7,940,"RWA",772.9678384
"281","San Marino","EUR",2017,0,0,0,0,0,0,0,33671,0,0,0,0,"SMR",48494.55141
"284","Sao Tome and Principe","AFR",2018,51,2,0,1,0,0,0,211028,124,260,28,59,"STP",2001.140902
"285","Saudi Arabia","EMR",2017,1707,139,16,9,7,0,0,33101179,10,3300,2.5,830,"SAU",20803.74257
"286","Saudi Arabia","EMR",2018,2012,116,17,10,2,0,0,33702756,10,3400,2.3,790,"SAU",23219.13048
"287","Senegal","AFR",2017,9418,1001,0,9,33,40,0,15419355,120,18000,18,2800,"SEN",1367.218948
"288","Senegal","AFR",2018,9744,885,0,1,7,8,0,15854323,118,19000,18,2900,"SEN",1521.953554
"290","Serbia","EUR",2018,489,68,0,2,1,0,0,8802754,17,1500,0.64,56,"SRB",7233.995874
"291","Seychelles","AFR",2017,14,0,0,0,0,0,0,96418,19,18,0.27,0,"SYC",15683.6565
"292","Seychelles","AFR",2018,15,0,0,0,0,0,0,97096,18,17,0.32,0,"SYC",16433.93529
"295","Singapore","WPR",2017,1152,86,0,12,2,14,0,5708041,47,2700,1.1,63,"SGP",60297.79378
"296","Singapore","WPR",2018,1143,88,0,11,1,11,0,5757499,47,2700,0.98,57,"SGP",64581.94402
"299","Slovenia","EUR",2017,85,4,0,1,0,1,0,2076394,6.2,130,0.61,13,"SVN",23449.57452
"301","Solomon Islands","WPR",2017,121,5,0,0,0,0,0,636039,73,470,8.1,51,"SLB",2077.126038
"302","Solomon Islands","WPR",2018,176,6,0,0,0,0,0,652857,74,480,8.2,53,"SLB",2162.651804
"303","Somalia","EMR",2017,7448,385,0,205,62,142,0,14589179,266,39000,70,10000,"SOM",309.066059
"304","Somalia","EMR",2018,7370,113,0,63,37,100,3,15008226,262,39000,69,10000,"SOM",314.5623635
"309","Spain","EUR",2017,2294,132,441,15,4,18,1,46647428,11,5000,0.73,340,"ESP",28208.26105
"311","Sri Lanka","SEA",2017,4019,362,7,5,9,12,0,21128032,64,14000,4.1,880,"LKA",4104.630983
"316","Suriname","AMR",2018,105,9,0,0,0,0,0,575990,38,220,4,23,"SUR",5950.213947
"317","Sweden","EUR",2017,259,23,13,8,1,9,0,9904896,5.7,560,0.29,29,"SWE",53253.47664
"318","Sweden","EUR",2018,282,13,3,5,2,7,0,9971638,5.5,550,0.28,28,"SWE",54111.97217
"320","Switzerland","EUR",2018,282,25,35,3,1,4,1,8525611,6.4,540,0.36,31,"CHE",82838.92944
"323","Tajikistan","EUR",2017,2432,652,0,413,133,508,279,8880268,85,7500,9.2,820,"TJK",806.0415731
"324","Tajikistan","EUR",2018,2487,550,0,296,120,312,52,9100835,84,7600,9,820,"TJK",826.6215305
"325","Thailand","SEA",2017,34195,3242,174,377,232,272,7,69209810,156,108000,18,12000,"THA",6578.188865
"326","Thailand","SEA",2018,39347,3916,523,768,307,630,29,69428453,153,106000,17,11000,"THA",7273.563207
"329","Togo","AFR",2017,2013,218,0,13,13,0,0,7698474,41,3100,5,380,"TGO",619.066371
"330","Togo","AFR",2018,1893,214,0,15,9,0,0,7889093,36,2800,3.7,290,"TGO",671.8406876
